Loaded checkpoint from epoch 52.

Checkpoint Frequency: 120
Date of Dataset Used: 20250224_OD
Learning Rate: 1e-4
Iterations: 1200

Epoch: [0][0/17]	Batch Time 37.707 (37.707)	Data Time 33.668 (33.668)	Loss 28.1146 (28.1146)	
Epoch: [1][0/17]	Batch Time 39.148 (39.148)	Data Time 34.393 (34.393)	Loss 15.8259 (15.8259)	
Epoch: [2][0/17]	Batch Time 41.818 (41.818)	Data Time 37.010 (37.010)	Loss 15.2650 (15.2650)	
Epoch: [3][0/17]	Batch Time 45.986 (45.986)	Data Time 41.492 (41.492)	Loss 13.9737 (13.9737)	
Epoch: [4][0/17]	Batch Time 38.022 (38.022)	Data Time 33.031 (33.031)	Loss 12.3619 (12.3619)	
Epoch: [5][0/17]	Batch Time 38.151 (38.151)	Data Time 33.428 (33.428)	Loss 13.0479 (13.0479)	
Epoch: [6][0/17]	Batch Time 37.127 (37.127)	Data Time 32.464 (32.464)	Loss 12.2673 (12.2673)	
Epoch: [7][0/17]	Batch Time 42.234 (42.234)	Data Time 37.585 (37.585)	Loss 12.8530 (12.8530)	
Epoch: [8][0/17]	Batch Time 34.889 (34.889)	Data Time 29.861 (29.861)	Loss 11.9760 (11.9760)	
Epoch: [9][0/17]	Batch Time 65.679 (65.679)	Data Time 61.182 (61.182)	Loss 12.7496 (12.7496)	
Epoch: [10][0/17]	Batch Time 34.316 (34.316)	Data Time 29.452 (29.452)	Loss 12.0505 (12.0505)	
Epoch: [11][0/17]	Batch Time 48.716 (48.716)	Data Time 44.123 (44.123)	Loss 12.5565 (12.5565)	
Epoch: [12][0/17]	Batch Time 34.091 (34.091)	Data Time 29.965 (29.965)	Loss 12.2946 (12.2946)	
Epoch: [13][0/17]	Batch Time 30.564 (30.564)	Data Time 24.514 (24.514)	Loss 11.7120 (11.7120)	
Epoch: [14][0/17]	Batch Time 35.427 (35.427)	Data Time 30.874 (30.874)	Loss 12.0557 (12.0557)	
Epoch: [15][0/17]	Batch Time 38.361 (38.361)	Data Time 32.249 (32.249)	Loss 11.9075 (11.9075)	
Epoch: [16][0/17]	Batch Time 40.383 (40.383)	Data Time 35.713 (35.713)	Loss 11.7573 (11.7573)	
Epoch: [17][0/17]	Batch Time 29.695 (29.695)	Data Time 25.997 (25.997)	Loss 10.9306 (10.9306)	
Epoch: [18][0/17]	Batch Time 40.707 (40.707)	Data Time 36.824 (36.824)	Loss 7.6604 (7.6604)	
Epoch: [19][0/17]	Batch Time 29.913 (29.913)	Data Time 26.150 (26.150)	Loss 7.3411 (7.3411)	
Epoch: [20][0/17]	Batch Time 34.699 (34.699)	Data Time 30.792 (30.792)	Loss 5.0188 (5.0188)	
Epoch: [21][0/17]	Batch Time 31.936 (31.936)	Data Time 28.021 (28.021)	Loss 4.9031 (4.9031)	
Epoch: [22][0/17]	Batch Time 30.930 (30.930)	Data Time 27.189 (27.189)	Loss 5.0488 (5.0488)	
Epoch: [23][0/17]	Batch Time 37.034 (37.034)	Data Time 33.617 (33.617)	Loss 5.1063 (5.1063)	
